# FILE DU LIEU SINH VIEN
# Format: MaSV|HoTen|NgaySinh
#---------------------------------------------------------
202522211|Huỳnh Thanh Hà|22/02/2006
202527296|Phạm Trọng Huy|18/11/2003
202421334|Lý Trọng Quỳnh|21/01/2005
202481301|Đinh Bảo Hà|12/12/2004
202290815|Trần Đức Phương|31/03/2005
202589567|Bùi Tuấn Yến|16/01/2006
202335194|Phan Văn Khoa|15/10/2006
202525380|Lê Trọng Khang|09/08/2004
202482161|Đỗ Quang Trí|14/01/2004
202556176|Đoàn Thu Phương|22/07/2003
202461793|Nguyễn Quang Oanh|07/05/2004
202251500|Dương Văn Trang|14/09/2005
202355615|Đỗ Thu Bảo|15/05/2006
202312055|Lê Kim Thảo|20/10/2003
202383432|Đỗ Minh Thảo|02/02/2006
202247262|Bùi Đức Trí|11/06/2005
202503189|Huỳnh Thanh Khang|27/11/2003
202418744|Lý Thu Uyên|19/04/2004
202336664|Vũ Ngọc Phúc|08/07/2005
202435821|Phan Mai Khang|24/04/2003
202285177|Trịnh Xuân Phúc|20/05/2003
202437136|Nguyễn Hoàng Khang|19/09/2004
202230034|Võ Bảo Vinh|26/03/2005
202568565|Lê Tuấn Bảo|08/09/2005
202507625|Đỗ Tuấn Hiếu|27/09/2004
202292767|Hoàng Minh Hà|15/05/2006
202208958|Lý Văn Hải|16/03/2006
202315275|Dương Đức Chi|14/10/2006
202388244|Nguyễn Mai Long|02/03/2005
202484243|Lê Thu Dung|25/06/2003
202483561|Phan Hữu Thảo|28/03/2004
202277880|Hoàng Ngọc Giang|29/04/2003
202293312|Hồ Trọng Bảo|19/03/2005
202298649|Đinh Đức Giang|25/11/2006
202343280|Đoàn Mai Trí|19/06/2004
202332879|Vũ Thị Bảo|19/11/2006
202223546|Ngô Hữu Linh|02/06/2003
202368862|Ngô Hoàng Phương|29/03/2003
202475957|Ngô Hoàng Đạt|02/02/2003
202393742|Vũ Quang Uyên|21/08/2003
202493851|Lý Hoàng Long|21/09/2003
202245685|Võ Minh Phát|07/01/2005
202381560|Vũ Hải Chi|04/11/2004
202381386|Phạm Đức Sơn|02/11/2006
202253432|Đoàn Quang Huy|22/05/2005
202412042|Đinh Tuấn Khoa|22/06/2004
202467906|Phạm Hữu Anh|11/10/2003
202219410|Hồ Hải Dũng|14/09/2004
202364779|Dương Bảo Long|10/08/2006
202502948|Đinh Ngọc Phương|28/05/2003
202369039|Nguyễn Thu Nga|10/12/2005
202595714|Ngô Thị Uyên|20/04/2003
202444791|Bùi Minh Huy|30/04/2003
202563655|Phan Thu Hà|28/12/2005
202541530|Đoàn Hải Thắng|04/11/2004
202223927|Trần Mai Anh|22/09/2003
202570629|Trần Hải Đào|15/10/2003
202389531|Đỗ Mai Nam|31/01/2005
202501749|Hồ Tuấn Vân|25/05/2003
202578934|Bùi Quang Hà|19/11/2003
202498555|Lê Trọng Huy|05/11/2004
202472178|Hoàng Hải Hải|25/11/2005
202460669|Trần Thanh Giang|09/09/2003
202454238|Trần Đức Vân|11/11/2004
202448940|Đinh Bảo Dung|12/09/2003
202464883|Dương Ngọc Khoa|15/11/2006
202262985|Trần Quang Nga|15/11/2006
202389126|Trần Minh Nga|06/05/2005
202388134|Trần Quang Nga|06/07/2005
202366673|Đoàn Ngọc Trí|15/12/2004
202475561|Bùi Đức Khang|04/01/2006
202580805|Bùi Văn Dũng|05/06/2005
202573237|Nguyễn Gia Uyên|02/02/2005
202318296|Phan Tuấn Phúc|29/07/2006
202562305|Đặng Văn Hiếu|02/05/2005
202556967|Đinh Hải Phương|30/09/2004
202344014|Đỗ Hữu Khoa|29/11/2006
202319346|Trịnh Bảo Bình|30/03/2005
202461727|Dương Thu Em|19/09/2003
202310069|Đinh Bảo Bảo|21/02/2004
202413525|Lý Đức Long|14/05/2006
202463665|Ngô Hoàng Thảo|28/04/2003
202335487|Hoàng Quang Hà|12/05/2003
202318576|Đoàn Xuân Anh|30/03/2006
202377376|Huỳnh Mai Bảo|07/02/2006
202283533|Phan Thị Nam|27/10/2003
202560967|Lê Kim Hải|29/08/2005
202348045|Trần Hữu Linh|17/07/2003
202563718|Hồ Thanh Phúc|07/06/2005
202255741|Hồ Xuân Dũng|03/09/2006
202479991|Đặng Hải Anh|27/04/2004
202220435|Dương Thu Vân|13/04/2003
202502389|Võ Phương Khang|03/08/2005
202295980|Phạm Phương Nam|18/12/2005
202353092|Đoàn Đức Khoa|17/12/2003
202382501|Lý Minh Giang|15/11/2006
202597125|Ngô Ngọc Yến|08/05/2006
202272643|Bùi Tuấn Anh|20/11/2005
202505758|Bùi Mai Phương|09/08/2004
202560988|Bùi Đức Yến|23/05/2003
202221085|Đoàn Hải Thắng|26/07/2006
202402748|Ngô Ngọc Bình|07/01/2005
202331906|Đoàn Quang Sơn|15/03/2005
202592066|Dương Bảo Oanh|27/11/2004
202470959|Đinh Văn Thảo|06/08/2006
202590036|Dương Hữu Phát|15/04/2006
202462115|Lê Gia Linh|24/11/2006
202246474|Ngô Ngọc Trang|05/09/2003
202393791|Vũ Hữu Phương|10/04/2003
202247470|Đặng Minh Yến|20/08/2003
202381751|Ngô Quang Huy|24/05/2006
202513166|Đặng Kim Uyên|04/03/2004
202321930|Đinh Văn Trí|12/12/2004
202345103|Huỳnh Trọng Tân|16/03/2003
202459734|Vũ Xuân Trí|20/03/2004
202299683|Ngô Quang Hiếu|25/09/2003
202275386|Lê Thanh Phương|18/08/2005
202254138|Vũ Tuấn Giang|13/07/2004
202385185|Bùi Quang Bình|07/01/2005
202244878|Hồ Hoàng Thắng|04/02/2004
202448743|Võ Ngọc Hiếu|22/06/2004
202469564|Trần Quang Đào|12/07/2006
202247990|Đinh Trọng Vinh|13/12/2006
202454675|Dương Thu Sơn|22/09/2005
202260632|Đặng Mai Hải|03/11/2005
202403442|Đặng Tuấn Nga|16/01/2004
202346206|Dương Hoàng Quỳnh|10/02/2003
202348459|Dương Kim Bảo|02/02/2004
202257789|Trịnh Văn Vinh|06/02/2006
202393700|Ngô Mai Nga|23/11/2004
202314443|Đoàn Phương Dũng|09/05/2004
202302585|Hoàng Thanh Phát|10/07/2005
202506334|Bùi Tuấn Trang|24/11/2004
202310548|Phan Hữu Đào|01/06/2005
202473698|Đặng Hữu Uyên|28/04/2003
202272675|Phan Hoàng Chi|31/10/2005
202312506|Huỳnh Mai Thắng|14/10/2003
202591511|Đặng Phương Hiếu|05/08/2004
202527682|Lê Bảo Khoa|25/06/2006
202579322|Huỳnh Đức Chi|06/05/2004
202411719|Phan Ngọc Hải|20/11/2006
202522398|Hoàng Thu Dung|29/09/2005
202491808|Trịnh Xuân Oanh|15/07/2004
202527657|Hoàng Văn Nam|14/12/2006
202329392|Bùi Quang Chi|15/02/2003
202339282|Lê Đức Khoa|24/09/2005
202261765|Dương Hữu Nga|02/03/2003
202471378|Bùi Tuấn Phát|17/10/2003
202361515|Đỗ Tuấn Phương|07/05/2004
202362984|Hồ Trọng Phát|08/06/2004
202514657|Dương Gia Vân|15/09/2004
202355976|Nguyễn Quang Khoa|11/07/2003
202308370|Phan Kim Phát|16/08/2004
202349979|Võ Kim Bảo|21/06/2006
202430047|Võ Thị Hà|23/03/2006
202389696|Trần Hữu Phát|30/06/2006
202483453|Phạm Trọng Vinh|04/03/2005
202370467|Hoàng Hữu Giang|17/05/2006
202452162|Lê Đức Nam|28/06/2006
202281960|Võ Ngọc Em|17/11/2006
202385577|Phan Quang Khoa|18/03/2003
202516127|Nguyễn Kim Anh|21/01/2003
202461934|Ngô Thanh Phúc|29/09/2003
202212333|Lê Kim Phương|14/10/2004
202516599|Bùi Minh Bảo|28/02/2003
202429997|Đặng Phương Phát|27/11/2005
202374238|Trịnh Văn Bình|29/01/2005
202489334|Hồ Bảo Thắng|29/08/2004
202546491|Lê Thị Dung|10/01/2006
202257419|Bùi Phương Khoa|10/01/2004
202365060|Lý Tuấn Em|27/06/2006
202322352|Đặng Trọng Khoa|06/04/2003
202299308|Võ Trọng Phương|02/02/2004
202492282|Trần Xuân Hà|22/04/2005
202565100|Trịnh Mai Em|30/08/2006
202288715|Trần Thị Long|15/01/2005
202263796|Trịnh Tuấn Thắng|25/11/2003
202235191|Trịnh Đức Quân|10/05/2006
202544832|Trần Gia Giang|21/09/2006
202248005|Huỳnh Thanh Khoa|11/10/2006
202434527|Trần Văn Uyên|15/06/2003
202423367|Võ Tuấn Uyên|25/02/2003
202368955|Lý Xuân Long|07/08/2004
202487145|Hồ Xuân Phương|22/05/2006
202589466|Hồ Tuấn Dũng|24/03/2006
202330782|Lý Gia Dung|10/06/2005
202419655|Vũ Hoàng Khang|22/10/2003
202417739|Hoàng Phương Hiếu|17/05/2004
202510230|Phan Ngọc Đạt|18/02/2004
202452886|Vũ Bảo Tân|09/02/2005
202472683|Hồ Gia Thắng|12/12/2005
202510689|Đoàn Gia Long|09/04/2004
202585587|Huỳnh Kim Trang|01/03/2005
202271025|Nguyễn Mai Vân|21/07/2006
202562920|Nguyễn Quang Quỳnh|04/11/2004
202477744|Nguyễn Hải Chi|08/01/2003
202521091|Nguyễn Xuân Oanh|08/07/2005
202353308|Ngô Đức Phúc|13/05/2003
202290582|Trịnh Phương Vinh|31/05/2006
202350114|Bùi Kim Trang|16/10/2003
202244233|Nguyễn Ngọc Sơn|24/09/2005
202525219|Lê Ngọc Dũng|07/12/2005
202236777|Đoàn Hải Trí|07/03/2003
202339135|Trần Quang Giang|04/06/2005
202237595|Phan Phương Nam|24/05/2006
202293757|Dương Văn Bình|29/12/2006
202533919|Đoàn Thị Thắng|14/02/2003
202431171|Trần Quang Dũng|31/01/2004
202363248|Trịnh Tuấn Bảo|29/11/2003
202587916|Lý Đức Anh|31/10/2004
202215737|Phan Thanh Thắng|09/02/2005
202552959|Phan Hữu Hà|19/09/2003
202240617|Đỗ Xuân Hà|11/12/2006
202328273|Phan Tuấn Uyên|21/04/2006
202375404|Hồ Mai Nam|08/05/2003
202324476|Đỗ Ngọc Em|17/10/2004
202468888|Đặng Ngọc Quỳnh|11/06/2005
202372083|Bùi Bảo Vân|21/04/2005
202460261|Dương Hữu Bảo|25/06/2005
202565338|Ngô Hải Hiếu|13/03/2005
202329923|Hồ Trọng Dũng|28/10/2005
202237043|Trịnh Thị Sơn|14/09/2003
202310992|Đặng Đức Giang|17/11/2006
202594643|Dương Hải Phát|23/05/2004
202546461|Trần Quang Linh|25/03/2006
202247562|Phạm Ngọc Em|06/09/2003
202508746|Lý Trọng Dung|08/05/2004
202301251|Nguyễn Trọng Giang|06/01/2003
202387929|Dương Trọng Oanh|10/08/2004
202569350|Ngô Bảo Đạt|13/09/2003
202392102|Phan Ngọc Thắng|26/06/2005
202433369|Vũ Thu Nam|30/01/2005
202226223|Trần Xuân Yến|06/06/2004
202295982|Lê Kim Dũng|17/03/2003
202427656|Hồ Thị Anh|11/09/2005
202528478|Đoàn Hữu Phương|03/01/2005
202547796|Đỗ Mai Chi|08/02/2006
202287369|Nguyễn Trọng Phương|06/04/2006
202548378|Nguyễn Phương Bình|17/04/2005
202554368|Hoàng Thu Vinh|10/12/2004
202510124|Vũ Xuân Nam|05/02/2006
202468824|Dương Bảo Giang|29/07/2004
202367377|Đặng Gia Vinh|04/04/2006
202433842|Đoàn Thanh Sơn|04/10/2005
202343665|Lê Quang Khang|06/02/2006
202201949|Lê Mai Hiếu|29/03/2006
202349421|Lê Đức Yến|14/09/2004
202457637|Võ Phương Phương|24/09/2006
202277316|Phạm Quang Bình|21/08/2005
202277575|Bùi Thu Long|30/12/2003
202277839|Đinh Kim Oanh|22/02/2004
202431123|Trần Trọng Tân|09/03/2003
202484523|Trịnh Mai Giang|13/10/2006
202519975|Huỳnh Hoàng Phúc|30/06/2006
202421078|Trịnh Thanh Anh|13/11/2006
202574861|Lý Thanh Nam|20/09/2006
202238377|Đinh Bảo Oanh|22/09/2006
202376373|Vũ Tuấn Quỳnh|16/05/2006
202342273|Hoàng Minh Trí|04/03/2004
202500335|Đặng Trọng Hải|10/02/2004
202475219|Trịnh Kim Anh|18/06/2005
202309988|Đặng Trọng Dung|07/12/2004
202508797|Trần Đức Em|04/12/2006
202226029|Nguyễn Văn Bảo|18/03/2006
202386666|Đỗ Thu Huy|11/06/2005
202450381|Trần Tuấn Yến|12/06/2004
202564539|Dương Kim Hà|22/02/2005
202483446|Vũ Quang Dung|05/09/2003
202267030|Nguyễn Gia Đạt|22/11/2004
202227107|Phạm Văn Dũng|06/07/2003
202293541|Đỗ Hoàng Bảo|14/10/2003
202372925|Huỳnh Hoàng Hiếu|24/06/2004
202366343|Lý Ngọc Khoa|12/05/2005
202264824|Hồ Trọng Em|16/04/2003
202393725|Võ Gia Long|09/05/2006
202511498|Hoàng Thanh Hải|11/11/2003
202553224|Đỗ Hữu Giang|05/06/2006
202222475|Phan Hoàng Phương|04/06/2006
202431262|Đoàn Quang Đào|19/05/2005
202557016|Lê Thị Bình|18/01/2006
202414840|Phan Thu Uyên|07/03/2005
202385590|Hồ Tuấn Huy|09/11/2005
202276018|Đặng Hữu Vân|29/06/2005
202534007|Dương Hữu Hải|22/10/2003
202581967|Vũ Trọng Anh|07/11/2005
202511155|Trịnh Kim Yến|04/12/2006
202468239|Trần Thu Nam|25/03/2004
202589250|Nguyễn Xuân Yến|21/05/2005
202434809|Bùi Hoàng Bảo|09/04/2004
202538622|Lê Thu Linh|15/12/2004
202229290|Hồ Xuân Khoa|08/08/2005
202320406|Lý Đức Phúc|10/08/2004
202381589|Nguyễn Thu Tân|07/12/2003
202334513|Đinh Hải Linh|27/05/2004
202361231|Trần Ngọc Oanh|01/03/2006
202599114|Bùi Gia Quân|06/02/2003
202475589|Đinh Đức Dung|09/08/2005
202434328|Hồ Văn Trí|23/02/2004
202260207|Võ Đức Phát|04/05/2005
202255523|Nguyễn Kim Trang|27/02/2006
202432373|Đinh Minh Khang|15/03/2003
202344666|Vũ Đức Phát|02/06/2004
202328375|Ngô Quang Phúc|19/02/2003
202409481|Đặng Đức Trí|13/06/2005
202353374|Ngô Bảo Hải|20/09/2005
202361448|Hoàng Thu Quân|18/03/2006
202409485|Trịnh Văn Đạt|21/10/2004
202485904|Nguyễn Quang Quân|06/10/2004
202392541|Đặng Tuấn Quân|23/10/2006
202336331|Hồ Minh Chi|18/04/2003
202236764|Phan Thị Dũng|01/08/2003
202251004|Bùi Quang Huy|11/11/2005
202218193|Đoàn Gia Bình|03/10/2003
202448095|Lê Tuấn Anh|08/10/2006
202571012|Phạm Thanh Phát|03/08/2004
202242682|Huỳnh Ngọc Giang|30/07/2004
202337958|Phan Hữu Oanh|27/06/2006
202312867|Hoàng Tuấn Bình|20/11/2004
202505904|Nguyễn Kim Nam|14/04/2003
202210783|Lý Hải Phát|17/12/2004
202320393|Lê Quang Sơn|06/09/2006
202456685|Đỗ Đức Trang|10/02/2006
202247495|Hoàng Tuấn Giang|29/06/2005
202209872|Nguyễn Thị Nam|05/02/2006
202556603|Huỳnh Hữu Đào|27/04/2006
202494592|Võ Hoàng Dũng|02/05/2005
202421170|Phan Minh Thắng|11/11/2004
202473441|Vũ Hoàng Trí|27/03/2003
202402679|Lý Hữu Hà|22/03/2005
202386783|Đinh Hải Trang|12/08/2005
202447230|Đinh Thu Chi|26/04/2005
202568133|Bùi Ngọc Phúc|03/11/2004
202296479|Lê Gia Linh|13/10/2003
202412961|Hoàng Thị Dũng|09/04/2003
202335700|Phan Thu Trang|09/08/2005
202442702|Đỗ Gia Phương|18/11/2005
202288139|Phan Trọng Phát|20/03/2006
202571577|Bùi Bảo Dung|19/12/2006
202283350|Huỳnh Tuấn Dung|25/02/2003
202498576|Huỳnh Kim Giang|22/06/2004
202475396|Hồ Xuân Thắng|08/05/2003
202342003|Đinh Kim Bảo|16/07/2004
202396776|Đinh Phương Quân|27/10/2005
202389353|Đỗ Đức Giang|08/05/2004
202269064|Bùi Thanh Bình|25/11/2003
202366237|Võ Đức Trí|10/07/2005
202312995|Đặng Tuấn Phúc|22/05/2006
202448244|Vũ Trọng Khoa|23/12/2004
202293784|Hoàng Tuấn Trí|13/05/2003
202588405|Phạm Quang Huy|27/06/2004
202533134|Trịnh Quang Quân|12/12/2006
202461426|Đặng Tuấn Vinh|01/07/2004
202367984|Hoàng Thị Quỳnh|22/09/2003
202272685|Đinh Hải Sơn|09/06/2006
202561150|Trịnh Đức Anh|31/03/2005
202316532|Trịnh Kim Trí|29/05/2006
202299137|Trịnh Minh Chi|20/07/2003
202203000|Trịnh Hữu Bảo|28/09/2003
202503082|Lê Hữu Thảo|27/03/2006
202337436|Phạm Tuấn Huy|24/02/2005
202273423|Bùi Thanh Quỳnh|11/05/2004
202511015|Dương Hữu Bảo|04/01/2005
202231077|Ngô Phương Trang|02/06/2003
202308941|Nguyễn Tuấn Thảo|31/10/2003
202414503|Vũ Tuấn Quân|09/11/2005
202421303|Trịnh Ngọc Dũng|09/04/2006
202352015|Dương Tuấn Vân|14/09/2005
202510700|Lý Bảo Trang|12/01/2005
202446951|Phan Văn Đạt|28/10/2003
202442732|Hoàng Thu Bình|08/04/2005
202524094|Dương Đức Huy|05/07/2004
202440807|Hoàng Thị Chi|12/10/2005
202437282|Đặng Thu Chi|18/02/2003
202390882|Vũ Thu Phương|12/11/2003
202288137|Phan Minh Thắng|12/02/2004
202487566|Trịnh Thanh Phương|05/09/2003
202502051|Đoàn Minh Tân|08/11/2003
202311683|Hồ Đức Quân|02/10/2003
202557404|Đặng Thanh Thắng|15/08/2004
202450769|Phan Xuân Nam|04/04/2005
202301568|Phan Thanh Quỳnh|28/11/2004
202226706|Lý Trọng Giang|30/09/2006
202409993|Phan Minh Anh|29/10/2003
202490625|Dương Ngọc Hiếu|18/10/2006
202426665|Lê Hải Quân|13/04/2004
202410154|Đoàn Gia Nam|30/10/2003
202543158|Bùi Thị Đạt|10/03/2005
202299786|Phạm Hữu Linh|06/02/2003
202329656|Đặng Hải Nga|12/03/2005
202518057|Phan Phương Huy|08/11/2003
202244891|Đoàn Ngọc Quỳnh|15/01/2003
202330156|Phan Ngọc Tân|15/06/2003
202423300|Huỳnh Quang Hà|25/10/2004
202380265|Hoàng Hải Khoa|14/07/2006
202364763|Hồ Mai Dung|10/04/2005
202387940|Vũ Đức Uyên|22/07/2004
202231187|Đặng Đức Yến|17/08/2006
202484269|Lê Hải Thảo|01/01/2005
202543032|Hoàng Tuấn Hiếu|14/01/2006
202222491|Lê Trọng Quỳnh|08/01/2003
202554011|Trịnh Hữu Nga|06/06/2003
202440255|Lý Gia Đạt|18/06/2003
202422481|Hồ Văn Em|30/10/2003
202598289|Trần Kim Chi|05/05/2005
202399241|Huỳnh Phương Vân|17/07/2006
202547734|Hồ Hoàng Giang|09/09/2005
202388749|Phan Tuấn Chi|29/09/2005
202396219|Đỗ Đức Trang|26/08/2004
202204375|Hồ Minh Khoa|28/10/2003
202304346|Đoàn Phương Chi|09/12/2003
202241923|Trịnh Đức Bình|21/02/2004
202534355|Phan Trọng Huy|20/11/2005
202226925|Đặng Hữu Khang|20/06/2003
202412190|Hoàng Phương Phúc|15/07/2006
202552221|Nguyễn Đức Huy|23/06/2003
202362606|Ngô Văn Thắng|03/10/2006
202224588|Trần Hải Trang|18/09/2004
202562008|Dương Gia Chi|25/04/2005
202210699|Đặng Tuấn Tân|07/07/2004
202329426|Đặng Mai Hà|16/11/2004
202411540|Nguyễn Thu Khang|16/08/2005
202445343|Ngô Gia Khoa|28/01/2006
202315729|Phan Văn Huy|24/11/2005
202455231|Dương Ngọc Phát|24/09/2005
202274016|Lê Hữu Linh|29/06/2006
202390638|Vũ Bảo Bảo|18/02/2004
202234004|Phạm Kim Trí|26/02/2003
202395238|Huỳnh Quang Hiếu|03/10/2004
202230284|Lý Thị Oanh|10/11/2005
202388104|Đoàn Mai Chi|17/03/2005
202275165|Đoàn Xuân Hải|29/09/2003
202348343|Võ Kim Phương|04/10/2006
202320211|Phạm Bảo Huy|31/03/2005
202532446|Đinh Thanh Hà|24/02/2006
202211752|Võ Thị Yến|05/10/2003
202404230|Trần Hữu Phát|27/08/2004
202582641|Đỗ Hoàng Linh|06/12/2005
202335137|Đặng Văn Tân|12/10/2006
202230513|Ngô Hữu Em|05/10/2004
202529106|Đặng Minh Thảo|06/04/2006
202534063|Bùi Hữu Đạt|10/02/2005
202461261|Hồ Thanh Phát|22/01/2006
202286156|Trần Hữu Hà|12/04/2006
202567007|Ngô Hoàng Huy|15/04/2005
202414242|Phan Bảo Anh|08/01/2003
202245094|Đặng Xuân Vinh|07/02/2004
202468950|Đặng Ngọc Yến|31/05/2005
202561284|Vũ Gia Bảo|15/04/2004
202440811|Đoàn Phương Linh|25/11/2005
202500714|Phạm Hải Long|11/12/2003
202301478|Trịnh Thị Huy|03/07/2004
202404926|Phạm Hữu Phương|18/03/2006
202369674|Nguyễn Mai Vân|20/10/2006
202217357|Phạm Hữu Thắng|25/04/2004
202557177|Nguyễn Thị Khoa|23/12/2003
202483223|Trịnh Xuân Giang|22/11/2005
202575039|Lê Hải Quỳnh|17/02/2004
202474034|Bùi Đức Yến|01/01/2005
202427154|Hồ Hoàng Oanh|16/10/2005
202330865|Nguyễn Đức Khang|20/05/2005
202572439|Phan Văn Yến|27/10/2006
202468717|Đỗ Hải Dung|10/04/2005
202472732|Trịnh Trọng Đào|01/08/2003
202412180|Trần Văn Sơn|24/10/2004
202329040|Trần Mai Vinh|06/04/2006
202269539|Hồ Quang Linh|06/04/2005
202498982|Dương Thu Vân|10/01/2003
202372291|Võ Quang Huy|21/03/2004
202313875|Hoàng Phương Dũng|08/11/2004
202258432|Vũ Thị Linh|11/01/2005
202267211|Hồ Minh Uyên|21/10/2006
202462733|Đoàn Hoàng Vân|24/11/2006
202463044|Hồ Thanh Trí|25/11/2004
202589192|Huỳnh Đức Khang|21/06/2003
202260685|Trần Tuấn Trí|24/01/2006
202293199|Phạm Quang Huy|16/11/2005
202430550|Dương Văn Dũng|04/07/2003
202490614|Hoàng Thanh Khang|06/02/2004
202510767|Lý Bảo Khang|13/05/2004
202377629|Phan Quang Thảo|13/06/2006
202309353|Đỗ Tuấn Khang|26/03/2003
202419167|Nguyễn Minh Yến|02/06/2005
202327989|Phạm Bảo Tân|01/06/2004
202517590|Trần Quang Nga|02/11/2004
202455937|Phan Thu Vinh|07/06/2004
202481431|Đinh Trọng Tân|27/08/2006
202509609|Trần Hải Hiếu|17/09/2004
202250375|Đoàn Ngọc Anh|21/03/2003
202222921|Phan Minh Hà|01/11/2003
202272473|Đặng Trọng Giang|22/06/2005
202446851|Đoàn Tuấn Bình|23/11/2005
202393152|Võ Thu Linh|20/10/2006
202558250|Lê Tuấn Khang|26/09/2003
202475010|Trần Minh Đào|22/07/2003
202446904|Đặng Xuân Thảo|15/10/2006
202367193|Vũ Mai Trí|30/04/2006
202422438|Dương Hải Tân|01/06/2003
202541498|Ngô Hữu Phương|13/09/2005
202378357|Lê Văn Nam|26/09/2004
202205129|Nguyễn Trọng Bảo|24/10/2005
202213480|Bùi Ngọc Phát|21/11/2003
202320436|Đinh Thu Thắng|17/05/2003
202238049|Bùi Kim Dũng|25/02/2005
202527665|Đỗ Thị Oanh|12/11/2005
202339224|Huỳnh Phương Vinh|16/09/2006
202422018|Phạm Tuấn Trí|30/09/2004
202322714|Đinh Gia Nam|09/10/2005
202361612|Phạm Thị Long|28/06/2003
202359617|Trần Tuấn Khoa|26/05/2006
202359895|Bùi Thanh Dung|28/11/2004
202458632|Hồ Phương Chi|06/09/2006
202243000|Nguyễn Ngọc Khang|16/03/2006
202550591|Ngô Trọng Trí|25/06/2003
202560460|Đinh Kim Giang|11/09/2004
202280878|Huỳnh Đức Quân|15/07/2004
202314861|Võ Hải Em|18/03/2005
202311328|Phan Trọng Hiếu|12/04/2005
202264237|Đỗ Đức Vinh|18/10/2005
202497623|Đỗ Văn Quân|15/01/2005
202407181|Dương Bảo Quân|06/09/2005
202244517|Đỗ Thanh Long|04/04/2005
202558262|Phạm Hữu Dung|02/09/2003
202423657|Lý Phương Nam|27/07/2004
202268193|Phan Hữu Nga|05/03/2003
202235427|Nguyễn Ngọc Trí|08/07/2006
202270020|Võ Hải Phúc|03/07/2004
202488823|Hoàng Đức Hiếu|15/01/2004
202500950|Phạm Trọng Yến|27/02/2006
202448529|Trịnh Hữu Yến|17/08/2005
202372034|Đinh Văn Phúc|07/06/2003
202423438|Lê Hữu Bảo|29/07/2006
202392753|Đinh Kim Thảo|31/01/2004
202314841|Trịnh Mai Bảo|19/03/2003
202469881|Phạm Văn Bình|12/01/2005
202420269|Lý Hải Thắng|20/12/2003
202559761|Trần Tuấn Quỳnh|16/06/2004
202203669|Huỳnh Quang Trang|11/09/2006
202564784|Đinh Hoàng Khang|21/04/2003
